,hexcode,decimal,Unicode name,CLDR English name,major shortname,localsrc, char
1f631,128561,face screaming in fear, , ,shock,😱
1f632,128562,astonished face, , ,face19,😲
1f633,128563,flushed face, , ,face17,😳
1f635,128565,dizzy face, , ,face5,😵
1f637,128567,face with medical mask, , ,face16,😷
1f638,128568,grinning cat face with smiling eyes, , ,catface8,😸
1f639,128569,cat face with tears of joy, , ,catface4,😹
1f63a,128570,smiling cat face with open mouth, , ,catface3,😺
1f63b,128571,smiling cat face with heartshaped eyes, , ,catface5,😻
1f63c,128572,cat face with wry smile, , ,catface9,😼
1f63d,128573,kissing cat face with closed eyes, , ,catface2,😽
1f63e,128574,pouting cat face, , ,catface,😾
1f63f,128575,crying cat face, , ,catface7,😿
